"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"255","MANAM42",0.0038271607,0.1596375,0.037865855,1,2,3,2,3,2
"256","MANAM43",0,0.0073121442,0.012629333,1,2,1,3,3,3
"257","MANAM45",0,0.00089970382,0.064831629,1,2,1,3,3,3
"258","MANAM47",0,0.029850254,0.070903473,1,2,1,3,3,3
"259","MANAM48",0.032611497,0.057159252,0.59800243,2,3,2,1,1,1
"260","MANAM49",0.014780645,0.17967246,0.041555401,1,1,3,2,2,2
"261","MANAM5",0.009708738,0,0.016374823,1,2,1,3,3,3
"262","MANAM50",0.026629999,0.048678067,0,1,2,1,3,3,3
"263","MANAM51",0.047096774,0.056419209,0.048416425,1,2,1,3,3,3
"264","MANAM8",0.014,0.050204642,0.071508944,1,2,1,3,3,3
"265","MANAM9",0.005214286,0.056737959,0.062602684,1,2,1,3,3,3
"266","NAT1",0.21870309,0.26770037,0.063200958,3,1,3,2,2,2
"267","NAT10",0.049355943,0.19381446,0,1,1,3,2,2,2
"268","NAT11",0.004672897,0.32046351,0.12235568,3,1,3,2,2,2
"269","NAT12",0.0054766731,0.0021282444,0.053827059,1,2,1,3,3,3
"270","NAT13",0.10175101,0.10933711,0.18930972,2,1,3,2,1,2
"271","NAT14",0,0,0,1,2,1,3,3,3
"272","NAT15",0,0,0.11857845,1,2,1,3,3,3
"273","NAT16",0.0031489362,0.028960239,0.29999313,2,3,2,1,1,1
"274","NAT17",0.071896888,0.1000438,0,1,2,1,3,3,3
"275","NAT18",0.048574999,0.053719997,0,1,2,1,3,3,3
"276","NAT19",0.057968337,0.12649272,0.18156245,2,1,3,2,3,2
"277","NAT2",0.13216178,0.22345458,0.12890458,3,1,3,2,2,2
"278","NAT20",0.036318921,0.52317226,0.13997376,3,1,3,2,2,2
"279","NAT24",0.0079558007,0.15943928,0.17414701,2,1,3,2,2,2
"280","NAT26",0.13130647,0.0011285676,0,1,2,1,3,3,3
"281","NAT28",0.0046219514,0.010041509,0,1,2,1,3,3,3
"282","NAT29",0.017714286,0.050391734,0.031201154,1,2,1,3,3,3
"283","NAT32",0.1683898,0.15473744,0.080391824,1,1,3,2,2,2
"284","NAT33",0.0033271718,0.077851772,0.031412896,1,2,1,3,3,3
"285","NAT34",0.030555269,0.032438815,0.15503323,1,2,1,3,3,3
"286","NAT37",0.045209207,0.093676224,0.029630641,1,2,1,3,3,3
"287","NAT38",0.014600759,0,0.0018546311,1,2,1,3,3,3
"288","NAT39",0.011478261,0.027395299,0.567792,2,3,2,1,1,1
"289","NAT4",0.17793539,0.22309509,0.1167088,3,1,3,2,2,2
"290","NAT41",0,0.0013222161,0.0063523562,1,2,1,3,3,3
"291","NAT43",0.15551452,0.021864006,0.077603251,1,2,1,3,3,3
"292","NAT44",0,0.1207469,0.19382423,2,1,3,2,1,2
"293","NAT45",0.23582245,0.024174064,0,1,2,1,3,3,3
"294","NAT46",0.0040740171,0,0.072745472,1,2,1,3,3,3
"295","NAT47",0.48210368,0.061601378,0,1,2,1,3,3,3
"296","NAT48",0.11435111,0,0.36591393,2,3,2,1,1,1
"297","NAT49",0.0070588239,0.24999933,0.3591387,2,1,2,1,1,1
"298","NAT5",0.011583432,0,0.019544,1,2,1,3,3,3
"299","NAT50",0.015043771,0.13634329,0.0050447662,1,2,1,3,3,3
"300","NAT51",0.0090000005,0.030936908,0.03487061,1,2,1,3,3,3
"301","NAT6",0.031997208,0.10026675,0.14809033,1,1,1,3,3,3
"302","NAT7",0.014661655,0.067942694,0.072660774,1,2,1,3,3,3
"303","NAT9",0.16095977,0.12475388,0.043579042,1,2,1,3,3,3
"304","ORA1",0.0029032258,0.051376335,0.46482641,2,3,2,1,1,1
"305","ORA10",0.015199999,0.014261998,0.0039442303,1,2,1,3,3,3
"306","ORA12",0.10420909,0,0.1786207,2,2,1,3,3,3
"307","ORA14",0.40000001,0.048151132,0.53566015,2,3,2,1,1,1
