HHID_panel,pca2index2010,m2index2010,pca2index2016,m2index2016,pca2index2020,m2index2020
MAN20,23.591909,7.531641,23.211037,.78016865,21.84034,-13.675924
MAN21,26.052855,8.2422504,22.783653,-3.138701,47.831234,56.981945
MAN22,25.707243,9.7261705,29.573238,25.004597,50.869511,86.9534
MAN23,21.85726,-8.6983862,33.024334,27.935598,28.887981,15.970749
MAN25,27.883366,17.202971,29.114479,23.857433,39.424019,34.561981
MAN26,25.250498,5.5628648,27.488108,24.028646,25.187109,-2.6793005
MAN28,46.669643,64.626884,29.643353,23.798252,40.682026,23.728813
MAN31,22.021864,4.0715828,28.295401,26.476469,38.956654,41.673122
MAN32,34.071091,30.897432,34.212574,36.699615,52.155384,69.986603
MAN33,26.775362,7.071949,22.97393,10.593401,22.09322,-3.5952165
MAN34,22.937086,-3.4535861,55.90176,50.814354,60.525372,97.24292
MAN37,33.589828,33.635353,27.413862,21.53264,22.133781,-10.337634
MAN38,26.892525,6.4573317,24.741968,12.327332,18.032026,-11.591662
MAN39,37.553055,41.495548,22.591717,.5115639,37.373268,39.756927
MAN41,27.39481,6.7412891,24.896894,-16.565165,67.168465,150.60696
MAN42,29.487503,25.483101,28.565308,8.3389044,25.631216,9.8209515
MAN43,38.661804,44.952759,39.165039,58.860683,42.170536,42.306927
MAN44,26.594303,8.9175692,48.753372,96.023071,23.701199,2.1282616
MAN45,24.158007,4.0445361,31.054672,28.845839,52.510796,78.79496
MAN46,29.511118,10.098515,24.230047,13.995036,52.563938,89.368629
MAN47,27.889425,14.548752,25.07519,10.72998,45.783596,45.245819
MAN49,26.773733,8.8719292,19.34128,1.8013402,51.922897,58.257488
MAN5,21.511999,-10.046223,25.640831,10.372315,36.434036,20.883377
MAN50,22.813904,4.0278587,41.989372,65.487907,28.18288,9.5905209
MAN52,31.255127,21.333975,21.249434,-6.7303715,19.464418,-3.2385693
MAN8,22.340029,-.4903709,26.871155,16.162294,41.023193,51.311569
MAN9,27.208462,9.3552532,26.797697,22.347685,25.011372,12.623561
MANAM1,29.883186,16.519997,19.803532,-5.7654877,18.986197,-1.8124586
MANAM10,21.936949,-2.5668554,14.506986,-10.886682,22.086977,-9.2884998
MANAM13,28.479893,11.946068,23.96545,7.5570555,51.87009,73.923637
MANAM14,23.839876,1.9908948,27.525469,13.638387,17.987795,-41.526432
MANAM15,21.302309,.20109351,23.331707,10.487078,27.737114,22.29394
MANAM16,21.98778,2.6322107,29.843365,-13.776304,21.0527,2.0495384
MANAM17,23.711695,2.1411548,50.412361,80.277596,34.179546,2.4051232
MANAM2,22.53297,2.9908864,23.927019,1.2756927,21.910076,9.64781
MANAM20,23.189535,1.4368064,36.565567,41.74966,32.309853,17.412361
MANAM21,27.685644,4.901217,23.565598,2.136538,40.531319,53.583038
MANAM22,26.53323,2.3668172,26.398455,20.273962,35.918247,17.390425
MANAM23,27.728722,14.144144,21.845577,4.5173473,38.087612,47.594559
MANAM24,23.456825,3.5077612,24.55821,.011782823,28.50046,-15.279305
MANAM25,25.802805,5.3846478,21.456402,-6.3621264,40.630535,64.774055
MANAM26,22.033775,6.1351662,27.93021,6.8932567,32.473644,2.1902094
MANAM28,30.104322,29.100065,27.702572,23.027409,25.79077,-.60159546
MANAM3,25.779585,1.3280466,37.992012,56.69297,37.401173,1.1307304
MANAM30,22.669575,.65123701,24.583078,11.596543,40.917221,56.51926
MANAM31,19.321604,-3.0115409,27.425184,5.4745383,9.868372,-35.719799
MANAM32,26.358101,1.7069336,30.965286,25.45792,35.009632,17.691746
MANAM33,21.208887,-3.2320147,26.298862,4.3818989,55.831337,106.52303
MANAM36,19.562372,-2.8641574,22.022387,-2.4579227,37.280518,48.302349
MANAM37,23.750212,9.9298239,30.888388,24.42029,31.138132,-4.1188254
MANAM38,34.711868,36.104527,24.110033,11.67618,28.921803,3.7431307
MANAM39,29.829853,20.717957,44.448818,67.766335,39.885925,21.660158
MANAM4,24.397995,-2.6599233,21.257109,-6.2852139,28.63871,29.061319
MANAM41,22.587175,4.0135798,24.128736,2.740247,32.036358,6.7578468
MANAM42,22.952463,2.8677006,23.542032,3.7108674,35.670193,-5.6451097
MANAM43,20.120216,-3.7773266,33.003387,35.828468,27.945004,7.9515109
MANAM45,21.50902,-2.8318036,22.790245,3.7946591,32.224422,11.057348
MANAM47,16.614948,-4.3916359,26.499807,9.4831944,34.853172,38.653751
