"","HHID_panel","year","dsr_std","dar_std","tdr_std","afm_std","dailyincome_pc_std","assets_pc_std","lapc_std","dailyincome_pc_std","assets_pc_std","dsr_std","dar_std","afm_std","tdr_std","lapc_std","clust"
"114","ELA46",2010,-0.58601433,-0.66208214,-0.45677617,-0.53875977,-0.25537726,-0.45064104,-0.27925965,-0.25537726,-0.45064104,-0.58601433,-0.66208214,-0.53875977,-0.45677617,-0.27925965,"2"
"115","ELA47",2016,-0.43031546,0.99564821,-0.45677617,-0.26110873,-0.26304519,0.14383058,0.51289678,-0.26304519,0.14383058,-0.43031546,0.99564821,-0.26110873,-0.45677617,0.51289678,"4"
"116","ELA47",2020,5.3989606,2.6487215,-0.23300087,-1.2872138,-1.1081096,-0.45470995,2.2602687,-1.1081096,-0.45470995,5.3989606,2.6487215,-1.2872138,-0.23300087,2.2602687,"4"
"117","ELA48",2016,-0.56425625,1.7881938,-0.45677617,0.56203729,0.58638817,1.9450455,1.1089211,0.58638817,1.9450455,-0.56425625,1.7881938,0.56203729,-0.45677617,1.1089211,"1"
"118","ELA48",2020,-0.43159488,-0.26301584,-0.45677617,1.1051834,1.1004349,1.5636975,0.34485596,1.1004349,1.5636975,-0.43159488,-0.26301584,1.1051834,-0.45677617,0.34485596,"1"
"119","ELA49",2010,-0.41925034,-0.49103448,-0.45677617,-0.4501797,-0.27326271,0.43553302,-0.38193509,-0.27326271,0.43553302,-0.41925034,-0.49103448,-0.4501797,-0.45677617,-0.38193509,"2"
"120","ELA49",2016,-0.50135082,2.6487215,-0.45677617,-0.24991758,0.13784067,-0.69979203,-0.61582851,0.13784067,-0.69979203,-0.50135082,2.6487215,-0.24991758,-0.45677617,-0.61582851,"4"
"121","ELA49",2020,-0.54509312,-0.78166741,-0.45677617,0.49429727,0.74788308,-0.58890212,-0.61962372,0.74788308,-0.58890212,-0.54509312,-0.78166741,0.49429727,-0.45677617,-0.61962372,"2"
"122","ELA5",2010,-0.18187642,0.66865367,-0.45677617,0.085405387,0.18278669,1.0245187,1.1122997,0.18278669,1.0245187,-0.18187642,0.66865367,0.085405387,-0.45677617,1.1122997,"4"
"123","ELA5",2016,-0.254971,1.7796564,2.2414558,-0.030887572,0.32088608,-0.6823377,-0.25298148,0.32088608,-0.6823377,-0.254971,1.7796564,-0.030887572,2.2414558,-0.25298148,"3"
